food_id,food_name,genus,species,food_group,food_subgroup
1,Ashitaba,Angelica,keiskei,Herbs and Spices,Herbs
2,Savoy Cabbage,Brassica,oleracea,Vegetables,Cabbages
4,Kiwifruit,Actinidia,chinensis,Fruits,Tropical fruits
5,Red-skinned Onion,Allium,haematochiton,Vegetables,Onion-family vegetables
6,Onion,Allium,cepa,Vegetables,Onion-family vegetables
8,Garlic,Allium,sativum,Herbs and Spices,Herbs
9,Chives,Allium,schoenoprasum,Herbs and Spices,Herbs
10,Lemon Verbena,Aloysia,triphylla,Herbs and Spices,Herbs
11,Cashew Nut,Anacardium,occidentale,Nuts,Nuts
12,Pineapple,Ananas,comosus,Fruits,Tropical fruits
13,Dill,Anethum,graveolens,Herbs and Spices,Herbs
14,Custard Apple,Annona,reticulata,Fruits,Tropical fruits
15,Wild Celery,Apium,graveolens,Herbs and Spices,Spices
16,Peanut,Arachis,hypogaea,Nuts,Nuts
17,Greater Burdock,Arctium,lappa,Vegetables,Root vegetables
18,Horseradish,Armoracia,rusticana,Herbs and Spices,Spices
19,Tarragon,Artemisia,dracunculus,Herbs and Spices,Herbs
20,Mugwort,Artemisia,vulgaris,Herbs and Spices,Herbs
21,Asparagus,Asparagus,officinalis,Vegetables,Shoot vegetables
22,Oat,Avena,sativa,Cereals and cereal products,Cereals
23,Star Fruit,Averrhoa,carambola,Fruits,Tropical fruits
24,Brazil Nut,Bertholletia,excelsa,Nuts,Nuts
25,Beet,Beta,vulgaris,Vegetables,Leaf vegetables
26,Borage,Borago,officinalis,Herbs and Spices,Oilseed crops
27,Brown Mustard,Brassica,juncea,Vegetables,Cabbages
28,Rutabaga,Brassica,napus,Vegetables,Root vegetables
29,Rapeseed,Brassica,napus,Vegetables,Root vegetables
30,"Wild Cabbage Cultivar (Kale, Red Cabbage etc.)",Brassica,oleracea,Vegetables,Cabbages
31,Cauliflower,Brassica,oleracea,Vegetables,Cabbages
32,Brussels Sprout,Brassica,oleracea,Vegetables,Cabbages
33,Kohlrabi,Brassica,oleracea,Vegetables,Root vegetables
34,Broccoli,Brassica,oleracea,Vegetables,Cabbages
35,Chinese Cabbage,Brassica,rapa,Vegetables,Cabbages
36,Turnip,Brassica,rapa,Herbs and Spices,Herbs
37,Pigeon Pea,Cajanus,cajan,Pulses,Peas
38,Tea,Camellia,sinensis,Teas,Teas
39,Capers,Capparis,spinosa,Herbs and Spices,Spices
40,"Pepper Cultivar (Bell, Cayenne, Jalapeño, etc.)",Capsicum,annuum,Vegetables,Fruit vegetables
41,Papaya,Carica,papaya,Fruits,Tropical fruits
42,Safflower,Carthamus,tinctorius,Herbs and Spices,Oilseed crops
43,Caraway,Carum,carvi,Herbs and Spices,Spices
44,Pecan Nut,Carya,illinoinensis,Nuts,Nuts
45,Chestnut,Castanea,,Nuts,Nuts
46,Roman Chamomile,Chamaemelum,nobile,Herbs and Spices,Herbs
47,Chickpea,Cicer,arietinum,Pulses,Peas
48,Endive,Cichorium,endivia,Vegetables,Leaf vegetables
49,Chicory,Cichorium,intybus,Vegetables,Root vegetables
50,Chinese Cinnamon,Cinnamomum,aromaticum,Herbs and Spices,Spices
51,Ceylon Cinnamon,Cinnamomum,verum,Herbs and Spices,Spices
52,Watermelon,Citrullus,lanatus,Gourds,Gourds
53,Key Lime,Citrus,Citrus x aurantiifolia,Fruits,Citrus
54,Lemon,Citrus,Citrus x limon,Fruits,Citrus
55,Pomelo,Citrus,maxima,Fruits,Citrus
56,Mandarin Orange,Citrus,reticulata,Fruits,Citrus
57,Sweet Orange,Citrus,sinensis,Fruits,Citrus
58,Coffee,Coffea,,Coffee and coffee products,Coffee
59,Arabica Coffee,Coffea,arabica,Coffee and coffee products,Coffee
60,Robusta Coffee,Coffea,canephora,Coffee and coffee products,Coffee
61,Coriander,Coriandrum,sativum,Herbs and Spices,Herbs
62,Common Hazel,Corylus,avellana,Nuts,Nuts
63,Saffron,Crocus,sativus,Herbs and Spices,Spices
64,Muskmelon,Cucumis,melo,Gourds,Gourds
65,Cucumber,Cucumis,sativus,Gourds,Gourds
66,"Cucurbita sp. (Squash, Pumpkin, Gourd etc.)",Cucurbita,,Gourds,Gourds
67,Cumin,Cuminum,cyminum,Herbs and Spices,Spices
68,Turmeric,Curcuma,longa,Herbs and Spices,Spices
69,Quince,Cydonia,oblonga,Fruits,Pomes
70,Lemongrass,Cymbopogon,citratus,Herbs and Spices,Herbs
71,Artichoke,Cynara,cardunculus,Vegetables,Shoot vegetables
72,Wild Carrot,Daucus,carota,Vegetables,Root vegetables
73,Japanese Persimmon,Diospyros,kaki,Fruits,Tropical fruits
75,Black Crowberry,Empetrum,nigrum,Fruits,Berries
76,Loquat,Eriobotrya,japonica,Fruits,Tropical fruits
77,Arugula,Eruca,vesicaria,Vegetables,Leaf vegetables
78,Wax Apple,Eugenia,,Fruits,Tropical fruits
79,Buckwheat,Fagopyrum,esculentum,Cereals and cereal products,Cereals
80,Tatar Buckwheat,Fagopyrum,tataricum,Cereals and cereal products,Cereals
81,Common Fig,Ficus,carica,Fruits,Other fruits
82,Fennel,Anethum,foeniculum,Herbs and Spices,Herbs
83,Strawberry,Fragaria,Fragaria x ananassa,Fruits,Berries
85,Soybean,Glycine,max,Soy,Soy
86,Sunflower,Helianthus,annuus,Herbs and Spices,Oilseed crops
87,Sea Buckthorn,Hippophae,rhamnoides,Fruits,Berries
88,Barley,Hordeum,vulgare,Cereals and cereal products,Cereals
89,Hyssop,Dracocephalum,officinale,Herbs and Spices,Herbs
90,Star Anise,Illicium,verum,Herbs and Spices,Spices
91,Water Spinach,Ipomoea,aquatica,Vegetables,Leaf vegetables
92,Sweet Potato,Ipomoea,batatas,Vegetables,Tubers
93,Black Walnut,Juglans,nigra,Nuts,Nuts
94,English Walnut,Juglans,regia,Nuts,Nuts
95,Lettuce,Lactuca,sativa,Vegetables,Leaf vegetables
96,Grass Pea,Lathyrus,sativus,Pulses,Peas
97,Sweet Bay,Laurus,nobilis,Herbs and Spices,Herbs
